source_index,source_file,global_request_id,依頼No.,項目名,項目No.,測光ﾎﾟｰﾄ,処理値,時間,吸光度
1,240517_calCSV_data.csv,1_C001,C001,TAT206,41,15,3.5,0.0,10866.0
1,240517_calCSV_data.csv,1_C001,C001,TAT206,41,15,3.5,9.2,10862.0
1,240517_calCSV_data.csv,1_C001,C001,TAT206,41,15,3.5,18.0,10859.0
1,240517_calCSV_data.csv,1_C001,C001,TAT206,41,15,3.5,27.2,10857.0
1,240517_calCSV_data.csv,1_C001,C001,TAT206,41,15,3.5,36.0,10864.0
1,240517_calCSV_data.csv,1_C001,C001,TAT206,41,15,3.5,45.2,10864.0
1,240517_calCSV_data.csv,1_C001,C001,TAT206,41,15,3.5,54.0,10871.0
1,240517_calCSV_data.csv,1_C001,C001,TAT206,41,15,3.5,63.2,10875.0
1,240517_calCSV_data.csv,1_C001,C001,TAT206,41,15,3.5,72.0,10876.0
1,240517_calCSV_data.csv,1_C001,C001,TAT206,41,15,3.5,81.2,10880.0
1,240517_calCSV_data.csv,1_C001,C001,TAT206,41,15,3.5,90.0,10885.0
1,240517_calCSV_data.csv,1_C001,C001,TAT206,41,15,3.5,99.2,10891.0
1,240517_calCSV_data.csv,1_C001,C001,TAT206,41,15,3.5,108.0,10891.0
1,240517_calCSV_data.csv,1_C001,C001,TAT206,41,15,3.5,117.2,10901.0
1,240517_calCSV_data.csv,1_C001,C001,TAT206,41,15,3.5,126.0,10901.0
1,240517_calCSV_data.csv,1_C001,C001,TAT206,41,15,3.5,135.2,10908.0
1,240517_calCSV_data.csv,1_C001,C001,TAT206,41,15,3.5,144.0,10912.0
1,240517_calCSV_data.csv,1_C001,C001,TAT206,41,15,3.5,153.2,10920.0
1,240517_calCSV_data.csv,1_C001,C001,TAT206,41,15,3.5,162.0,10926.0
1,240517_calCSV_data.csv,1_C001,C001,TAT206,41,15,3.5,171.2,10933.0
1,240517_calCSV_data.csv,1_C001,C001,TAT206,41,15,3.5,180.0,10939.0
1,240517_calCSV_data.csv,1_C002,C002,TAT206,41,16,3.2,0.0,10802.0
1,240517_calCSV_data.csv,1_C002,C002,TAT206,41,16,3.2,9.2,10800.0
1,240517_calCSV_data.csv,1_C002,C002,TAT206,41,16,3.2,18.0,10797.0
1,240517_calCSV_data.csv,1_C002,C002,TAT206,41,16,3.2,27.2,10793.0
1,240517_calCSV_data.csv,1_C002,C002,TAT206,41,16,3.2,36.0,10797.0
1,240517_calCSV_data.csv,1_C002,C002,TAT206,41,16,3.2,45.2,10806.0
1,240517_calCSV_data.csv,1_C002,C002,TAT206,41,16,3.2,54.0,10806.0
1,240517_calCSV_data.csv,1_C002,C002,TAT206,41,16,3.2,63.2,10810.0
1,240517_calCSV_data.csv,1_C002,C002,TAT206,41,16,3.2,72.0,10812.0
1,240517_calCSV_data.csv,1_C002,C002,TAT206,41,16,3.2,81.2,10819.0
1,240517_calCSV_data.csv,1_C002,C002,TAT206,41,16,3.2,90.0,10822.0
1,240517_calCSV_data.csv,1_C002,C002,TAT206,41,16,3.2,99.2,10826.0
1,240517_calCSV_data.csv,1_C002,C002,TAT206,41,16,3.2,108.0,10829.0
1,240517_calCSV_data.csv,1_C002,C002,TAT206,41,16,3.2,117.2,10835.0
1,240517_calCSV_data.csv,1_C002,C002,TAT206,41,16,3.2,126.0,10839.0
1,240517_calCSV_data.csv,1_C002,C002,TAT206,41,16,3.2,135.2,10846.0
1,240517_calCSV_data.csv,1_C002,C002,TAT206,41,16,3.2,144.0,10850.0
1,240517_calCSV_data.csv,1_C002,C002,TAT206,41,16,3.2,153.2,10854.0
1,240517_calCSV_data.csv,1_C002,C002,TAT206,41,16,3.2,162.0,10861.0
1,240517_calCSV_data.csv,1_C002,C002,TAT206,41,16,3.2,171.2,10867.0
1,240517_calCSV_data.csv,1_C002,C002,TAT206,41,16,3.2,180.0,10871.0
1,240517_calCSV_data.csv,1_C003,C003,TAT206,41,17,3.5,0.0,10697.0
1,240517_calCSV_data.csv,1_C003,C003,TAT206,41,17,3.5,9.2,10706.0
1,240517_calCSV_data.csv,1_C003,C003,TAT206,41,17,3.5,18.0,10704.0
1,240517_calCSV_data.csv,1_C003,C003,TAT206,41,17,3.5,27.2,10708.0
1,240517_calCSV_data.csv,1_C003,C003,TAT206,41,17,3.5,36.0,10708.0
1,240517_calCSV_data.csv,1_C003,C003,TAT206,41,17,3.5,45.2,10712.0
1,240517_calCSV_data.csv,1_C003,C003,TAT206,41,17,3.5,54.0,10718.0
1,240517_calCSV_data.csv,1_C003,C003,TAT206,41,17,3.5,63.2,10719.0
1,240517_calCSV_data.csv,1_C003,C003,TAT206,41,17,3.5,72.0,10724.0
1,240517_calCSV_data.csv,1_C003,C003,TAT206,41,17,3.5,81.2,10727.0
1,240517_calCSV_data.csv,1_C003,C003,TAT206,41,17,3.5,90.0,10731.0
1,240517_calCSV_data.csv,1_C003,C003,TAT206,41,17,3.5,99.2,10738.0
1,240517_calCSV_data.csv,1_C003,C003,TAT206,41,17,3.5,108.0,10742.0
1,240517_calCSV_data.csv,1_C003,C003,TAT206,41,17,3.5,117.2,10748.0
1,240517_calCSV_data.csv,1_C003,C003,TAT206,41,17,3.5,126.0,10750.0
1,240517_calCSV_data.csv,1_C003,C003,TAT206,41,17,3.5,135.2,10758.0
1,240517_calCSV_data.csv,1_C003,C003,TAT206,41,17,3.5,144.0,10766.0
1,240517_calCSV_data.csv,1_C003,C003,TAT206,41,17,3.5,153.2,10770.0
